code,department,faculty,link,term,title
ALG 1901,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=001032&term=2189&session=FS,2018 Fall Term,Elementary German I
ALG 2501,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=001049&term=2189&session=FS,2018 Fall Term,Culture allemande contemporaine
ALG 2901,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=001055&term=2189&session=FS,2018 Fall Term,Intermediate German I
ALG 3330,Department of Modern Languages and Literatures,Faculty of Arts,Course.aspx?id=001066&term=2189&session=FS,2018 Fall Term,Cinema in the German Speaking Countries
ANT 4523,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001384&term=2189&session=FS,2018 Fall Term,Courants théoriques en anthropologie contemporaine
ANT 4537,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001392&term=2189&session=FS,2018 Fall Term,Anthropologie historique
ANT 5100,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001397&term=2189&session=FS,2018 Fall Term,Comparative Theoretical Approaches in Anthropology: the French and Anglo-American Traditions
ANT 5141,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001398&term=2189&session=FS,2018 Fall Term,Research Methodology in Anthropology
ANT 5500,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001399&term=2189&session=FS,2018 Fall Term,Approches théoriques comparées en anthropologie : Les traditions françaises et anglo-américaines
ANT 5541,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001400&term=2189&session=FS,2018 Fall Term,Méthodologie de la recherche en anthropologie
ANT 6102,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001402&term=2189&session=FS,2018 Fall Term,Social and Cultural Anthropology: Fundamental Issues
ANT 6503,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001408&term=2189&session=FS,2018 Fall Term,Questions autour de la notion de «culture» en anthropologie
ANT 7990,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001415&term=2189&session=FS,2018 Fall Term,Research Project
ANT 7998,School of Sociological and Anthropological Studies,Faculty of Social Sciences,Course.aspx?id=001416&term=2189&session=FS,2018 Fall Term,Research Paper
APA 1161,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001421&term=2189&session=FS,2018 Fall Term,Introduction to Biophysical Aspects of Human Movement
APA 1313,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001428&term=2189&session=FS,2018 Fall Term,Musculoskeletal Anatomy
APA 1561,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001432&term=2189&session=FS,2018 Fall Term,Introduction aux aspects biophysiques du mouvement humain
APA 1713,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001439&term=2189&session=FS,2018 Fall Term,Anatomie du système locomoteur
APA 2111,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001447&term=2189&session=FS,2018 Fall Term,Intervention Theories
APA 2120,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001451&term=2189&session=FS,2018 Fall Term,Motor Control and Learning
APA 2121,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001452&term=2189&session=FS,2018 Fall Term,Nutrition and Health
APA 2140,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001458&term=2189&session=FS,2018 Fall Term,Introduction to Sport and Exercise Psychology
APA 2302,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001472&term=2189&session=FS,2018 Fall Term,History of Sport and Physical Activity in Canada
APA 2315,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001477&term=2189&session=FS,2018 Fall Term,Introduction to Applied Biomechanics
APA 3531,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=051893&term=2189&session=FS,2018 Fall Term,Ergonomie physique
APA 3542,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001580&term=2189&session=FS,2018 Fall Term,Sociologie de la santé au Canada
APA 3725,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001605&term=2189&session=FS,2018 Fall Term,Principes d'amélioration de la condition physique
APA 3781,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001607&term=2189&session=FS,2018 Fall Term,Mesure et analyse des données quantitatives en sciences de l'activité physique
APA 1001,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=051402&term=2189&session=FS,2018 Fall Term,Research Project (Part 1 of 2)
APA 4111,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001616&term=2189&session=FS,2018 Fall Term,Internship/Clinical Experience
APA 1111,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=051411&term=2189&session=FS,2018 Fall Term,Internship/Clinical Experience (Part 1 of 2)
APA 4123,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001626&term=2189&session=FS,2018 Fall Term,Physical Activity Counselling
APA 4150,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001632&term=2189&session=FS,2018 Fall Term,Principles in Psychomotor Rehabilitation
APA 4313,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001642&term=2189&session=FS,2018 Fall Term,Exercise and Disease Prevention
APA 4323,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001648&term=2189&session=FS,2018 Fall Term,Selected Topics in Human Kinetics
APA 5001,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=051419&term=2189&session=FS,2018 Fall Term,Projet de recherche (Partie 1 de 2)
APA 4511,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001654&term=2189&session=FS,2018 Fall Term,Internat/expérience clinique
APA 5111,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=051423&term=2189&session=FS,2018 Fall Term,Internat/expérience clinique (Partie 1 de 2)
APA 4517,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001660&term=2189&session=FS,2018 Fall Term,"Qualité de vie : Principes théoriques, recherche et application"
APA 4545,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001666&term=2189&session=FS,2018 Fall Term,Marketing en sport et en loisir
APA 4713,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001680&term=2189&session=FS,2018 Fall Term,Exercice et prévention des maladies
APA 4900,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001688&term=2189&session=FS,2018 Fall Term,Directed Studies
APA 5105,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001696&term=2189&session=FS,2018 Fall Term,Organizational Theory in Sport and Physical Activity
APA 5107,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001698&term=2189&session=FS,2018 Fall Term,Counselling Theories and Skills
APA 7301,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001776&term=2189&session=FS,2018 Fall Term,"Critical Socio-Cultural Perspectives on Sport, Physical Activity and Health"
APA 7302,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001777&term=2189&session=FS,2018 Fall Term,"Contemporary Psychological Theories in Sport, Physical Activity and Health"
APA 7305,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001779&term=2189&session=FS,2018 Fall Term,Advanced Topics in Biomechanics and Motor/Control Learning
APA 7702,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001782&term=2189&session=FS,2018 Fall Term,"Théories psychologiques contemporaines du sport, de l'activité physique et de la santé"
APA 7705,School of Human Kinetics,Faculty of Health Sciences,Course.aspx?id=001784&term=2189&session=FS,2018 Fall Term,Principes avancés de la biomécanique et de l'apprentissage du contrôle moteur
API 5100,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001788&term=2189&session=FS,2018 Fall Term,Economics for Public Management and Policy
API 5105,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001789&term=2189&session=FS,2018 Fall Term,Concepts and Issues in International Affairs
API 5116,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001792&term=2189&session=FS,2018 Fall Term,Democratic Government and Public Policy
API 5125,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001793&term=2189&session=FS,2018 Fall Term,Macroeconomic Policy
API 5135,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001795&term=2189&session=FS,2018 Fall Term,Ethics and Moral Reasoning for Public and International Affairs
API 5500,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001797&term=2189&session=FS,2018 Fall Term,Économie pour la gestion et les politiques publiques
API 5505,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001798&term=2189&session=FS,2018 Fall Term,Concepts et enjeux en affaires internationales
API 5516,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001801&term=2189&session=FS,2018 Fall Term,Gouvernement démocratique et politiques publiques
API 5525,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001802&term=2189&session=FS,2018 Fall Term,Politique macroéconomique
API 5535,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001804&term=2189&session=FS,2018 Fall Term,Éthique et Philosophie morale en affaires publiques et internationales
API 6319,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001816&term=2189&session=FS,2018 Fall Term,Special Topics in Public Policy
API 6333,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001819&term=2189&session=FS,2018 Fall Term,International Law and Ethics
API 6335,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001821&term=2189&session=FS,2018 Fall Term,Canadian Foreign Policy
API 6399,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001839&term=2189&session=FS,2018 Fall Term,Capstone Seminar
API 6799,Graduate School of Public and International Affair,Faculty of Social Sciences,Course.aspx?id=001870&term=2189&session=FS,2018 Fall Term,Séminaire d'intégration
ART 2914,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002033&term=2189&session=FS,2018 Fall Term,Painting and Image II: Motif and Metaphor
ART 2915,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002034&term=2189&session=FS,2018 Fall Term,Painting and Context I: Observation and Process
ART 2928,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002040&term=2189&session=FS,2018 Fall Term,Sculpture and the Body
ART 2932,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002041&term=2189&session=FS,2018 Fall Term,Digital Photography Workshop I
ART 2934,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002043&term=2189&session=FS,2018 Fall Term,Large Format Photography
ART 2941,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002046&term=2189&session=FS,2018 Fall Term,Installation Media Art
ART 2942,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002047&term=2189&session=FS,2018 Fall Term,Electronic Art
ART 2951,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002049&term=2189&session=FS,2018 Fall Term,Drawing I: Materiality and Process
ART 3116,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002099&term=2189&session=FS,2018 Fall Term,Art and New Technologies
ART 3180,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002109&term=2189&session=FS,2018 Fall Term,Art After Modernism: 1945-1978
ART 3580,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002166&term=2189&session=FS,2018 Fall Term,L'art après le modernisme : 1945-1978
ART 3734,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002188&term=2189&session=FS,2018 Fall Term,Art canadien et identités culturelles
ART 3916,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002199&term=2189&session=FS,2018 Fall Term,Painting and Source I: Issues of Representation
ART 3933,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002206&term=2189&session=FS,2018 Fall Term,Photography and Contemporary Context
ART 3953,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002218&term=2189&session=FS,2018 Fall Term,Drawing IV: Expressivity
ART 4115,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002249&term=2189&session=FS,2018 Fall Term,Special Topics in History and Theory of Art
ART 4900,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002301&term=2189&session=FS,2018 Fall Term,Apprenticeship
ART 4919,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002303&term=2189&session=FS,2018 Fall Term,Painting: Practice and Idea
ART 4929,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002304&term=2189&session=FS,2018 Fall Term,Sculpture/Media Studio
ART 4936,Department of Visual Arts,Faculty of Arts,Course.aspx?id=002305&term=2189&session=FS,2018 Fall Term,Photography/Media Studio
BCH 9998,Department of Biochemistry,Faculty of Medicine,Course.aspx?id=002615&term=2189&session=FS,2018 Fall Term,Comprehensive-Examination (PhD)
BIL 5101,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=002617&term=2189&session=FS,2018 Fall Term,Issues in Bilingualism Studies
BIL 5103,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=002619&term=2189&session=FS,2018 Fall Term,Assessment of Second Language Competence
BIL 5508,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=002632&term=2189&session=FS,2018 Fall Term,"Langue, pouvoir et politiques identitaires: Le Canada et le monde"
BIL 7990,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=002633&term=2189&session=FS,2018 Fall Term,Thesis Proposal
BIL 7998,Official Languages and Bilingualism Institute,Faculty of Arts,Course.aspx?id=002634&term=2189&session=FS,2018 Fall Term,Research Paper
BIM 0091,Science (General),Faculty of Science,Course.aspx?id=051984&term=2189&session=FS,2018 Fall Term,Research Practicum (Part 1 of 2)
BIM 0091,Science (General),Faculty of Science,Course.aspx?id=051468&term=2189&session=FS,2018 Fall Term,Research Project - Biomedical Science (Part 1 of 2)
BIM 4316,Science (General),Faculty of Science,Course.aspx?id=002641&term=2189&session=FS,2018 Fall Term,Modern Bioanalytical Chemistry
BIM 4920,Science (General),Faculty of Science,Course.aspx?id=042736&term=2189&session=FS,2018 Fall Term,Seminar I Evaluating Science
BIO 1109,Department of Biology,Faculty of Science,Course.aspx?id=002655&term=2189&session=FS,2018 Fall Term,Principles of Biology
BIO 1130,Department of Biology,Faculty of Science,Course.aspx?id=002659&term=2189&session=FS,2018 Fall Term,Introduction to Organismal Biology
BIO 1509,Department of Biology,Faculty of Science,Course.aspx?id=002673&term=2189&session=FS,2018 Fall Term,Principes de biologie
BIO 1530,Department of Biology,Faculty of Science,Course.aspx?id=002677&term=2189&session=FS,2018 Fall Term,Introduction à la biologie des organismes
BIO 2129,Department of Biology,Faculty of Science,Course.aspx?id=002716&term=2189&session=FS,2018 Fall Term,Ecology
BIO 2137,Department of Biology,Faculty of Science,Course.aspx?id=002719&term=2189&session=FS,2018 Fall Term,Introduction to Plant Science: Biodiversity to Biotechnology
BIO 2529,Department of Biology,Faculty of Science,Course.aspx?id=002736&term=2189&session=FS,2018 Fall Term,Écologie
BIO 2537,Department of Biology,Faculty of Science,Course.aspx?id=002739&term=2189&session=FS,2018 Fall Term,Introduction aux végétaux: de la biodiversité à la biotechnologie
BIO 0091,Science (General),Faculty of Science,Course.aspx?id=051982&term=2189&session=FS,2018 Fall Term,Research Practicum (Part 1 of 2)
BIO 3103,Department of Biology,Faculty of Science,Course.aspx?id=002749&term=2189&session=FS,2018 Fall Term,Field Biology
BIO 3553,Department of Biology,Faculty of Science,Course.aspx?id=002849&term=2189&session=FS,2018 Fall Term,Biologie cellulaire
BIO 3570,Department of Biology,Faculty of Science,Course.aspx?id=002854&term=2189&session=FS,2018 Fall Term,Biologie moléculaire
BIO 3702,Department of Biology,Faculty of Science,Course.aspx?id=002857&term=2189&session=FS,2018 Fall Term,Physiologie animale II
BIO 3705,Department of Biology,Faculty of Science,Course.aspx?id=002859&term=2189&session=FS,2018 Fall Term,Physiologie cellulaire
BIO 3710,Department of Biology,Faculty of Science,Course.aspx?id=002860&term=2189&session=FS,2018 Fall Term,Systématique et diversité des plantes
BIO 0041,Department of Biology,Faculty of Science,Course.aspx?id=051522&term=2189&session=FS,2018 Fall Term,Honours Research (Part 1 of 2)
BIO 0091,Department of Biology,Faculty of Science,Course.aspx?id=051530&term=2189&session=FS,2018 Fall Term,Honours Research (Part 1 of 2)
BIO 4109,Department of Biology,Faculty of Science,Course.aspx?id=002883&term=2189&session=FS,2018 Fall Term,Advanced Topics in Animal Development
BIO 4127,Department of Biology,Faculty of Science,Course.aspx?id=002904&term=2189&session=FS,2018 Fall Term,Comparative Endocrinology
BIO 4134,Department of Biology,Faculty of Science,Course.aspx?id=002911&term=2189&session=FS,2018 Fall Term,Special Topics in Biology
BIO 4158,Department of Biology,Faculty of Science,Course.aspx?id=002931&term=2189&session=FS,2018 Fall Term,Applied Biostatistics
BIO 4302,Department of Biology,Faculty of Science,Course.aspx?id=039366&term=2189&session=FS,2018 Fall Term,Comparative Biomechanics
BIO 4501,Department of Biology,Faculty of Science,Course.aspx?id=002976&term=2189&session=FS,2018 Fall Term,Les pesticides et l'environnement
BIO 4537,Department of Biology,Faculty of Science,Course.aspx?id=002986&term=2189&session=FS,2018 Fall Term,Génétique évolutive humaine
BIO 4551,Department of Biology,Faculty of Science,Course.aspx?id=002991&term=2189&session=FS,2018 Fall Term,Physiologie évolutive et écophysiologie
BIO 4556,Department of Biology,Faculty of Science,Course.aspx?id=002993&term=2189&session=FS,2018 Fall Term,Écologie des eaux douces
BIO 4558,Department of Biology,Faculty of Science,Course.aspx?id=002994&term=2189&session=FS,2018 Fall Term,Biostatistique appliquée
BIO 4920,Department of Biology,Faculty of Science,Course.aspx?id=039369&term=2189&session=FS,2018 Fall Term,Seminar I Evaluating Science
BIO 5302,Department of Biology,Faculty of Science,Course.aspx?id=003040&term=2189&session=FS,2018 Fall Term,Methods in Molecular Genetics
BIO 5310,Department of Biology,Faculty of Science,Course.aspx?id=003050&term=2189&session=FS,2018 Fall Term,Advanced Evolutionary Biology
BMG 9901,Department of Mechanical Engineering,Faculty of Engineering,Course.aspx?id=051690&term=2189&session=FS,2018 Fall Term,Biomedical Engineering PhD Seminar
